class,RE,RENL,SWR,SKR,QR,CER,CS,ACF,CT,TAC,RT,RCF,TRC,RP,ExtLib,Sentiment,id
u,94.565,94.565,0.631578947368421,0.631578947368421,1.0,0.05263157894736842,0.40050093945740706,82,1,3488,1,94,1741,303,0.0,1,64766418-7137
u,78.70785714285716,78.70785714285716,0.7333333333333333,0.7333333333333333,0.0,0.03333333333333333,0.35355339059327373,0,0,209,1,8,206,52,0.7586142287718893,0,64742195-7134
u,92.965,83.32000000000004,0.36363636363636365,0.36363636363636365,0.0,0.45454545454545453,0.1448413648755803,14,1,1591,1,63,1495,287,0.7752121613284599,1,64657990-7133
u,74.00789473684213,100.0,0.20689655172413793,0.20689655172413793,0.0,0.6551724137931034,0.5240825440522419,13,1,1591,1,44,1495,287,0.7147751138854995,1,64658225-7133
u,75.50000000000003,100.0,0.3333333333333333,0.3333333333333333,0.0,0.4166666666666667,0.1543033499620919,1,1,209,1,7,201,51,0.4020480950493114,1,64568297-7117
u,80.30636363636367,100.0,0.23529411764705882,0.23529411764705882,0.0,0.5294117647058824,0.2684624220856098,1,1,209,1,7,201,51,0.4020480950493114,1,64612375-7117
u,99.00000000000001,98.25250000000001,0.45,0.45,0.0,0.15,0.09534625892455921,12,1,695,1,5,307,56,0.0,1,64479045-7113
u,67.16000000000003,85.13947368421054,0.3137254901960784,0.3137254901960784,0.5,0.5686274509803921,0.21616885058355842,0,0,187,1,3,477,81,0.0,1,64473063-7112
u,96.02461538461542,100.0,0.2777777777777778,0.3333333333333333,1.0,0.4444444444444444,0.40824829046386296,0,0,339,1,11,155,48,0.8314971796756814,1,64437344-7111
u,90.935,93.70161764705884,0.4,0.4,0.0,0.24,0.23904572186687872,0,0,339,1,11,155,48,0.8314971796756814,1,64438090-7111
u,92.43000000000002,100.0,0.3448275862068966,0.3448275862068966,0.5,0.3793103448275862,0.23354968324845685,0,0,137,1,3,81,14,0.0,1,63959754-7096
u,96.05954545454546,100.0,0.4827586206896552,0.4827586206896552,1.0,0.3103448275862069,0.2864459496157732,0,0,695,1,4,287,50,0.0,1,63927956-7089
u,94.30000000000001,100.0,0.2,0.2,1.0,0.3,0.35355339059327373,0,0,695,1,4,287,50,0.0,0,63928072-7089
u,100.0,100.0,0.3,0.3,1.0,0.5,0.16666666666666666,0,0,432,1,4,326,62,0.9295565995129684,1,63616013-7072
u,74.06583333333336,72.32350000000002,0.53125,0.53125,0.5,0.15625,0.21081851067789195,0,0,339,0,0,141,43,0.0,1,63706666-7072
u,69.46391304347827,72.9868181818182,0.6,0.6,0.0,0.08,0.07018624063435965,15,1,695,1,16,278,48,0.0,1,63608230-7069
u,96.27105263157897,96.27105263157897,0.43902439024390244,0.43902439024390244,0.0,0.024390243902439025,0.10482848367219183,0,0,339,0,0,134,42,0.0,0,63608469-7069
u,84.15181818181821,86.70500000000001,0.36,0.36,0.5,0.12,0.17149858514250882,26,1,1591,1,14,1453,281,0.2878888306346806,0,63611040-7069
u,100.0,NaN,0.1111111111111111,0.1111111111111111,0.0,1.0,0.3731012536223182,0,0,339,1,11,134,42,0.0,1,63568135-7067
u,75.50000000000003,100.0,0.15384615384615385,0.15384615384615385,1.0,0.6923076923076923,0.4919349550499537,0,0,695,1,5,276,47,0.0,1,63380314-7063
u,95.68818181818183,100.0,0.42857142857142855,0.42857142857142855,0.0,0.5714285714285714,0.4264014327112209,0,0,695,1,5,276,47,0.0,1,63384870-7063
u,95.93928571428573,95.93928571428573,0.6551724137931034,0.6551724137931034,0.0,0.034482758620689655,0.33541019662496846,0,0,39,0,0,0,0,0.0,0,63533202-7062
u,82.5858823529412,82.5858823529412,0.5714285714285714,0.5714285714285714,0.0,0.02857142857142857,0.42766860172384985,0,0,39,0,0,0,0,0.0,1,63561086-7062
u,51.07260869565218,NaN,0.2857142857142857,0.2857142857142857,0.0,1.0,0.12757297666876868,0,0,187,1,7,472,79,0.0,1,63253416-7059
u,68.88058962264155,71.14080882352944,0.5344827586206896,0.5517241379310345,0.25,0.05172413793103448,0.4830458915396479,0,0,7098,0,0,436,45,0.0,1,63392463-7059
u,59.63500000000003,83.0092307692308,0.5238095238095238,0.5238095238095238,0.0,0.38095238095238093,0.32756920994133026,4,1,3166,1,22,1338,272,0.0,0,63379672-7053
u,23.03330882352944,72.89666666666668,0.32727272727272727,0.36363636363636365,0.0,0.7363636363636363,0.4830315329084441,23,1,441,0,0,73,26,0.0,1,62932388-7044
u,94.30000000000001,100.0,0.40625,0.40625,0.3333333333333333,0.0625,0.18490006540840973,0,0,245,0,0,118,41,0.0,0,63023966-7044
u,0.0,0.0,0.0,0.0,1.0,1.0,0.9354143466934852,1,1,70,1,5,24,4,0.0,1,62884091-7042
u,57.21619047619049,93.47266666666667,0.475,0.5,0.3333333333333333,0.275,0.23186944788008415,0,0,2387,0,0,1393,201,0.6617516803143516,1,62935101-7038
u,88.36863636363636,88.36863636363636,0.5454545454545454,0.6363636363636364,0.0,0.045454545454545456,0.21320071635561041,0,0,0,1,19,705,174,0.0,0,62059825-7022
u,45.06578947368425,75.76500000000001,0.7142857142857143,0.7142857142857143,0.0,0.09523809523809523,0.29361010975735174,0,0,581,1,3,484,52,0.0,1,61792535-7013
u,42.61571428571432,100.0,0.3333333333333333,0.3333333333333333,0.0,0.4444444444444444,0.1720618004029213,0,0,581,1,1,484,52,0.6284796469788554,1,61792717-7013
u,60.354411764705915,73.35818181818182,0.5,0.5,0.0,0.05555555555555555,0.20942695414584775,0,0,581,1,3,484,52,0.0,0,61792943-7013
u,39.429285714285754,84.845,0.40625,0.40625,0.0,0.40625,0.6123724356957945,1,1,44,1,4,80,20,0.7355748925399854,1,61803551-7013
u,80.68684210526318,92.91000000000001,0.3953488372093023,0.3953488372093023,0.0,0.2558139534883721,0.3584885719585767,1,1,3166,1,3,1240,266,0.7257905262736545,0,61770193-7004
u,71.29178571428572,70.0518181818182,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.34545454545454546,0.43685202833051895,0,0,3166,1,40,1236,265,0.5776772367016683,1,61595087-6997
u,30.53000000000003,66.40000000000003,0.4444444444444444,0.4444444444444444,0.0,0.3333333333333333,0.0,0,0,3166,0,0,1230,264,0.29377094795607966,1,61762705-6996
u,44.06939075630255,47.61060810810811,0.518796992481203,0.518796992481203,0.0,0.09022556390977443,0.18206913871032138,0,0,0,1,8,699,173,0.0,0,61352059-6989
u,72.9868181818182,77.8839285714286,0.36538461538461536,0.36538461538461536,0.0,0.25,0.35944257734479473,0,0,0,1,8,699,173,0.0,1,61453422-6989
u,84.12737500000003,84.12737500000003,0.5833333333333334,0.5833333333333334,0.2,0.013888888888888888,0.26470046277199466,0,0,0,1,28,699,173,0.0,1,61353658-6988
u,74.40121212121215,74.40121212121215,0.5789473684210527,0.5964912280701754,0.0,0.017543859649122806,0.26148818018424536,23,1,773,1,9,65,16,0.0,1,61478030-6988
u,42.61571428571432,100.0,0.4,0.4,0.0,0.5,0.3296902366978935,3,1,441,1,4,73,26,0.0,1,61508413-6988
u,72.32500000000003,88.905,0.5217391304347826,0.5652173913043478,0.0,0.43478260869565216,0.5773502691896257,6,1,581,1,9,474,50,0.0,1,61176621-6982
u,86.19833333333335,93.12454545454547,0.4074074074074074,0.48148148148148145,0.3333333333333333,0.3333333333333333,0.3195059768353112,6,1,581,1,9,474,50,0.0,1,61176986-6982
u,64.4693181818182,100.0,0.43902439024390244,0.43902439024390244,0.0,0.3902439024390244,0.3779644730092272,11,1,432,1,9,296,50,0.0,1,61178023-6982
u,94.04473684210527,97.22107142857146,0.6829268292682927,0.6829268292682927,0.0,0.0975609756097561,0.23570226039551584,11,1,432,1,9,296,50,0.0,0,61178262-6982
u,66.20870967741936,66.40500000000003,0.5294117647058824,0.5294117647058824,0.0,0.058823529411764705,0.1829982843991256,2,1,581,1,6,474,50,0.0,0,61180833-6982
u,34.59000000000003,35.60500000000002,0.0,0.0,0.0,0.5,0.1360827634879543,2,1,581,1,6,474,50,0.0,1,61181016-6982
u,100.0,100.0,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.5,0.27116307227332015,6,1,581,1,9,474,50,0.0,1,61181256-6982
u,93.91525641025643,92.965,0.36666666666666664,0.36666666666666664,0.6666666666666666,0.1,0.2357022603955158,26,1,1591,1,10,1430,271,1.0,1,60970821-6973
u,78.87285714285717,100.0,0.2,0.2,0.0,0.8,0.2461829819586655,1,1,1591,0,0,1430,271,0.923329256934876,1,60972210-6973
u,49.54272727272729,75.87500000000001,0.25,0.25,0.0,0.75,0.43495883620084,26,1,1591,1,10,1430,271,1.0,1,60972935-6973
u,68.69142857142859,76.4117307692308,0.4166666666666667,0.4166666666666667,0.0,0.08333333333333333,0.23652495839563303,26,1,1591,1,10,1430,271,1.0,1,60978075-6973
u,73.7331756756757,72.89666666666668,0.6097560975609756,0.6097560975609756,0.0,0.3170731707317073,0.4724555912615341,15,1,695,1,11,261,38,0.0,1,60987261-6973
u,77.04078488372096,79.33106707317074,0.4965986394557823,0.5034013605442177,0.0,0.07482993197278912,0.29127586401773153,15,1,695,1,11,261,38,0.0,0,60991227-6973
u,100.0,100.0,0.6071428571428571,0.6071428571428571,0.5,0.10714285714285714,0.13608276348795434,0,0,359,1,5,215,9,0.0,0,62744495-1633
u,100.0,100.0,0.6086956521739131,0.6086956521739131,0.0,0.043478260869565216,0.33705264882291225,0,0,359,1,5,215,9,0.0,0,62745196-1633
u,77.68500000000002,77.68500000000002,0.5,0.5,0.0,0.03333333333333333,0.20134681656420733,1,1,511,1,9,1385,128,0.0,0,62745357-1633
u,100.0,100.0,0.0,0.0,0.0,0.3333333333333333,0.8164965809277259,4,1,315,1,25,556,75,0.0,1,57978311-1611
u,59.745000000000005,62.79000000000002,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.5773502691896258,2,1,19,1,6,26,3,0.0,1,55392381-1595
u,62.79000000000002,NaN,0.2222222222222222,0.2222222222222222,0.0,1.0,0.5773502691896257,3,1,19,0,0,26,3,0.0,1,55394716-1595
u,87.99727272727276,100.0,0.38461538461538464,0.38461538461538464,0.0,0.38461538461538464,0.5940885257860046,1,1,18,1,6,22,3,1.0,1,55395405-1595
u,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,8,1,2,10,8,0.0,1,55032690-1591
u,76.55500000000004,78.58096153846155,0.5,0.5217391304347826,0.0,0.043478260869565216,0.07106690545187015,0,0,35,1,3,435,20,0.27905077477563833,0,54960382-1590
u,55.21529411764709,51.92185483870969,0.2682926829268293,0.2682926829268293,0.0,0.1951219512195122,0.13884202690012465,0,0,35,1,4,435,20,0.5085143122843513,1,54960821-1590
u,90.935,94.30000000000001,0.5454545454545454,0.5909090909090909,1.0,0.13636363636363635,0.27386127875258304,2,1,511,1,42,1189,114,0.8119942628915816,1,53956484-1582
u,100.0,100.0,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.03333333333333333,0.06984302957695782,2,1,511,1,42,1189,114,0.8119942628915816,0,53957313-1582
u,78.24500000000002,100.0,0.3076923076923077,0.3076923076923077,1.0,0.6153846153846154,0.24333213169614382,2,1,19,1,5,21,1,0.0,1,52744659-1565
u,95.165,84.90000000000003,0.45454545454545453,0.45454545454545453,1.0,0.18181818181818182,0.14433756729740646,2,1,19,1,5,21,1,0.0,1,52744766-1565
u,100.0,100.0,0.5,0.5,1.0,0.1,0.19999999999999996,0,0,19,1,10,21,1,0.0,1,52745453-1565
u,100.0,100.0,0.4146341463414634,0.4146341463414634,0.3333333333333333,0.0975609756097561,0.2581988897471611,0,0,19,1,10,21,1,0.0,0,52745996-1565
u,100.0,100.0,0.8,0.8,1.0,0.2,0.0,0,0,19,1,10,21,1,0.0,1,52746196-1565
u,100.0,100.0,0.42857142857142855,0.42857142857142855,0.0,0.5714285714285714,0.3849001794597505,0,0,315,1,3,537,66,0.0,1,50040982-1539
